date,mean_concentration
2020-01-01,5.670829712387425e-05
2020-01-16,5.208739623235677e-05
2020-02-01,5.5087749729591706e-05
2020-02-16,5.975553895397604e-05
2020-03-01,5.835778362688376e-05
2020-03-16,6.908465880862605e-05
2020-04-01,7.567979536945501e-05
2020-04-16,7.13698663380098e-05
2020-05-01,6.875941164176619e-05
2020-05-16,7.051117776285324e-05
2020-06-01,7.898431620007948e-05
2020-06-16,6.765591921948975e-05
2020-07-01,6.443402728803442e-05
2020-07-16,5.95078986127036e-05
2020-08-01,5.998284544594324e-05
2020-08-16,4.657614968775466e-05
2020-09-01,5.705266701596444e-05
2020-09-16,6.026077663332082e-05
2020-10-01,7.656895826180491e-05
2020-10-16,7.342006319733002e-05
2020-11-01,7.37404770559661e-05
2020-11-16,7.460432287681732e-05
2020-12-01,6.749442693723191e-05
2020-12-16,6.305942577451823e-05
2021-01-01,5.915524273166724e-05
2021-01-16,6.37993370277184e-05
2021-02-01,6.474421867719922e-05
2021-02-16,6.662541273388402e-05
2021-03-01,7.188865169780168e-05
2021-03-16,8.367832216138257e-05
2021-04-01,9.096415736504908e-05
2021-04-16,7.946557846306523e-05
2021-05-01,7.328328401235255e-05
2021-05-16,8.201945046977314e-05
2021-06-01,8.329174997636327e-05
2021-06-16,7.800550927984388e-05
2021-07-01,7.167123071480056e-05
2021-07-16,6.823981675169158e-05
2021-08-01,6.845307278618314e-05
2021-08-16,6.184578410557081e-05
2021-09-01,6.577705132281396e-05
2021-09-16,6.835993703138171e-05
2021-10-01,7.507995310884852e-05
2021-10-16,7.065405430871211e-05
2021-11-01,7.246209009753098e-05
2021-11-16,7.080015938779378e-05
2021-12-01,6.610442732254958e-05
2021-12-16,5.816970397191991e-05
2022-01-01,5.346851617708006e-05
2022-01-16,5.866402088196932e-05
2022-02-01,6.319580462264706e-05
2022-02-16,6.355152579865923e-05
2022-03-01,6.325594097746446e-05
2022-03-16,7.015056944336654e-05
2022-04-01,7.969838388550305e-05
2022-04-16,7.812168076372178e-05
2022-05-01,7.760296539054583e-05
2022-05-16,6.77707223649716e-05
2022-06-01,7.694005443110051e-05
2022-06-16,7.570234079750767e-05
2022-07-01,7.12074503398253e-05
2022-07-16,6.236022399601137e-05
2022-08-01,6.0945807282261655e-05
2022-08-16,6.003521225077413e-05
2022-09-01,6.297601037347813e-05
2022-09-16,6.364228103151036e-05
2022-10-01,6.804657654888493e-05
2022-10-16,7.472471899353729e-05
2022-11-01,7.547289191923947e-05
2022-11-16,8.255945021417756e-05
2022-12-01,7.82729194196692e-05
2022-12-16,7.471760695148135e-05
2023-01-01,6.776738885050967e-05
2023-01-16,7.35473342927207e-05
2023-02-01,7.233418534388103e-05
2023-02-16,7.13940642398576e-05
2023-03-01,7.247130767178061e-05
2023-03-16,8.288371616301695e-05
2023-04-01,7.996284043671349e-05
2023-04-16,9.694714226115424e-05
2023-05-01,9.466381468289852e-05
2023-05-16,7.85606871657045e-05
2023-06-01,8.692020828798675e-05
2023-06-16,7.089876876105141e-05
2023-07-01,7.606418360867458e-05
2023-07-16,6.791634525229997e-05
