date,mean_concentration
2020-01-01,4.377769546246592e-05
2020-01-16,4.7390193602312206e-05
2020-02-01,3.970522940866368e-05
2020-02-16,4.566812625369413e-05
2020-03-01,4.604999104191815e-05
2020-03-16,5.2015930003554e-05
2020-04-01,5.2956080965994325e-05
2020-04-16,6.081027644946392e-05
2020-05-01,6.055243352401147e-05
2020-05-16,6.994979034302366e-05
2020-06-01,6.309977431589882e-05
2020-06-16,5.655760181650117e-05
2020-07-01,5.82164644569528e-05
2020-07-16,5.648241793912227e-05
2020-08-01,3.944465656164268e-05
2020-08-16,5.46297436607766e-05
2020-09-01,4.951947314466875e-05
2020-09-16,5.457204477194313e-05
2020-10-01,5.9589116485751615e-05
2020-10-16,5.3073135843619175e-05
2020-11-01,6.548440300788986e-05
2020-11-16,5.556345992591088e-05
2020-12-01,5.05122942824385e-05
2020-12-16,5.6577811619397765e-05
2021-01-01,4.659795746672305e-05
2021-01-16,5.3285622743509885e-05
2021-02-01,5.2505278722936224e-05
2021-02-16,5.493301285780071e-05
2021-03-01,6.170853508638262e-05
2021-03-16,6.068928737370603e-05
2021-04-01,6.584869918384607e-05
2021-04-16,6.959250529067403e-05
2021-05-01,5.98336953915484e-05
2021-05-16,6.716471075808026e-05
2021-06-01,6.518664157253247e-05
2021-06-16,7.138670790320597e-05
2021-07-01,6.873075280511492e-05
2021-07-16,6.0797621023386464e-05
2021-08-01,6.513873203400576e-05
2021-08-16,6.260597790849142e-05
2021-09-01,6.29131842064983e-05
2021-09-16,5.985776947313412e-05
2021-10-01,5.1450596085614405e-05
2021-10-16,5.369847248197776e-05
2021-11-01,6.534454306436721e-05
2021-11-16,4.482722081114476e-05
2021-12-01,5.475521579999594e-05
2021-12-16,5.7576461270660407e-05
2022-01-01,4.672249078731152e-05
2022-01-16,6.15159223658765e-05
2022-02-01,4.9580398039647605e-05
2022-02-16,4.948735068411846e-05
2022-03-01,5.286953674814485e-05
2022-03-16,6.926026121958729e-05
2022-04-01,5.691162639924346e-05
2022-04-16,6.160571825181774e-05
2022-05-01,7.185697255695128e-05
2022-05-16,6.564417459411073e-05
2022-06-01,7.20972806450196e-05
2022-06-16,6.406853208603133e-05
2022-07-01,6.028070512671666e-05
2022-07-16,5.642386313276437e-05
2022-08-01,5.658675842302563e-05
2022-08-16,5.711842226952558e-05
2022-09-01,5.406621268052767e-05
2022-09-16,6.433305526402305e-05
2022-10-01,5.30670204867934e-05
2022-10-16,5.9572816703239926e-05
2022-11-01,5.632824919147818e-05
2022-11-16,6.32469464597328e-05
2022-12-01,4.960147946657513e-05
2022-12-16,6.350777145437299e-05
2023-01-01,6.145600760753269e-05
2023-01-16,5.0263793692410416e-05
2023-02-01,6.158982984683094e-05
2023-02-16,6.225738307462688e-05
2023-03-01,5.931629422512997e-05
2023-03-16,7.106010927245336e-05
2023-04-01,7.004933252086183e-05
2023-04-16,7.281170426701545e-05
2023-05-01,7.183442638975222e-05
2023-05-16,8.272435327550251e-05
2023-06-01,8.467418842645055e-05
2023-06-16,7.196367817696783e-05
2023-07-01,6.691967845583554e-05
2023-07-16,6.212882695529118e-05
