date,mean_concentration
2020-01-01,7.88728855150003e-05
2020-01-16,7.23421841839158e-05
2020-02-01,7.356362227285323e-05
2020-02-16,7.42712876928709e-05
2020-03-01,7.118624218295473e-05
2020-03-16,7.4352479292951e-05
2020-04-01,7.785801709788424e-05
2020-04-16,8.325718490169894e-05
2020-05-01,7.706580683102962e-05
2020-05-16,8.841948331067941e-05
2020-06-01,8.117985666350114e-05
2020-06-16,7.72126147474223e-05
2020-07-01,7.121875202349985e-05
2020-07-16,7.093385083613906e-05
2020-08-01,6.82252718064243e-05
2020-08-16,6.800400922794757e-05
2020-09-01,7.336505663826791e-05
2020-09-16,6.433107021571834e-05
2020-10-01,7.093440620038704e-05
2020-10-16,7.629554239927712e-05
2020-11-01,7.584801179427549e-05
2020-11-16,8.063920502545635e-05
2020-12-01,9.016911464591072e-05
2020-12-16,8.183511957947983e-05
2021-01-01,7.841124691610707e-05
2021-01-16,7.830820990860673e-05
2021-02-01,8.527111254999853e-05
2021-02-16,9.127897412365198e-05
2021-03-01,8.727990634394681e-05
2021-03-16,9.158901331610834e-05
2021-04-01,9.194601401708636e-05
2021-04-16,0.00010243493180183208
2021-05-01,9.5040399805712e-05
2021-05-16,9.064605244136752e-05
2021-06-01,9.558423599926908e-05
2021-06-16,8.301952566484817e-05
2021-07-01,8.448221077029482e-05
2021-07-16,8.223539237046242e-05
2021-08-01,7.993673355796719e-05
2021-08-16,7.928622920162578e-05
2021-09-01,7.680402133301635e-05
2021-09-16,8.484837020437526e-05
2021-10-01,8.605330581657939e-05
2021-10-16,8.046732389747259e-05
2021-11-01,7.812025047234912e-05
2021-11-16,8.216533898325033e-05
2021-12-01,8.22667496602595e-05
2021-12-16,7.749925036280319e-05
2022-01-01,7.13924025233788e-05
2022-01-16,8.6846951067253e-05
2022-02-01,7.58211747429791e-05
2022-02-16,8.280185997825505e-05
2022-03-01,8.297332886536034e-05
2022-03-16,8.984886466262466e-05
2022-04-01,9.822966181823792e-05
2022-04-16,9.564942634016026e-05
2022-05-01,9.853891309180523e-05
2022-05-16,9.458571580950816e-05
2022-06-01,0.00010623929632041028
2022-06-16,0.00011011979168253174
2022-07-01,8.250748545415198e-05
2022-07-16,7.994717137046853e-05
2022-08-01,7.825809436673535e-05
2022-08-16,7.626876763016686e-05
2022-09-01,7.636679158691401e-05
2022-09-16,7.401253799747823e-05
2022-10-01,7.088062273559139e-05
2022-10-16,7.601647633875194e-05
2022-11-01,8.84072845271134e-05
2022-11-16,8.937768066862678e-05
2022-12-01,8.87547032880731e-05
2022-12-16,9.095172390826244e-05
2023-01-01,8.472377920224062e-05
2023-01-16,8.952943616582094e-05
2023-02-01,9.01659266102933e-05
2023-02-16,8.939097995751364e-05
2023-03-01,8.758976293537792e-05
2023-03-16,9.471181645616252e-05
2023-04-01,9.878610634571484e-05
2023-04-16,0.00011158351818155888
2023-05-01,0.0001104017437107504
2023-05-16,0.00011009001613146896
2023-06-01,0.0001129135823230207
2023-06-16,0.00010663159117996516
2023-07-01,9.320910702522356e-05
2023-07-16,8.259645728449759e-05
