date,mean_concentration
2019-01-01,7.354982490903886e-05
2019-01-16,7.33917030429027e-05
2019-02-01,8.245239788641255e-05
2019-02-16,6.5213124407129e-05
2019-03-01,7.045411962780828e-05
2019-03-16,7.900072478689377e-05
2019-04-01,8.582565032205563e-05
2019-04-16,9.079799368957768e-05
2019-05-01,9.961304315296548e-05
2019-05-16,9.875179630444624e-05
2019-06-01,9.93931867590344e-05
2019-06-16,0.0001020392861331112
2019-07-01,8.796932683689473e-05
2019-07-16,7.382913484697728e-05
2019-08-01,7.065494123570825e-05
2019-08-16,6.843499265046817e-05
2019-09-01,6.534311633830347e-05
2019-09-16,6.26662694050114e-05
2019-10-01,7.411080064294187e-05
2019-10-16,7.305804800590995e-05
2019-11-01,7.982551011380317e-05
2019-11-16,6.826763854414418e-05
2019-12-01,7.619064131765295e-05
2019-12-16,7.630042630991654e-05
2020-01-01,6.748838754922564e-05
2020-01-16,7.381925975086465e-05
2020-02-01,7.535930760295244e-05
2020-02-16,7.045917978789647e-05
2020-03-01,6.873292207369918e-05
2020-03-16,7.166643848947664e-05
2020-04-01,7.177628586174226e-05
2020-04-16,8.034570444569498e-05
2020-05-01,7.923047915284654e-05
2020-05-16,8.84126670263007e-05
2020-06-01,8.536774232656682e-05
2020-06-16,8.51352751103624e-05
2020-07-01,8.336044629342389e-05
2020-07-16,6.878597843613894e-05
2020-08-01,6.653825855644255e-05
2020-08-16,6.30921765352698e-05
2020-09-01,6.81305114415893e-05
2020-09-16,7.055102009714169e-05
2020-10-01,7.688795481453711e-05
2020-10-16,7.64758999344499e-05
2020-11-01,7.767119538156482e-05
2020-11-16,7.276855261517039e-05
2020-12-01,7.910747770846583e-05
2020-12-16,7.950922422131045e-05
2021-01-01,7.613798608367556e-05
2021-01-16,7.21153918640452e-05
2021-02-01,7.834075424052129e-05
2021-02-16,7.860408130768172e-05
2021-03-01,7.697930309366225e-05
2021-03-16,7.880714762014207e-05
2021-04-01,8.979459975170345e-05
2021-04-16,9.374693581612032e-05
2021-05-01,9.104546547475852e-05
2021-05-16,9.149775208293668e-05
2021-06-01,9.586595232915263e-05
2021-06-16,9.14019497583641e-05
2021-07-01,9.721530138606324e-05
2021-07-16,8.044703037498418e-05
2021-08-01,7.527977077745989e-05
2021-08-16,7.618252088270676e-05
2021-09-01,7.46312443978626e-05
2021-09-16,7.062373519177704e-05
2021-10-01,8.63884638239268e-05
2021-10-16,8.87800986955234e-05
2021-11-01,8.979637195546552e-05
2021-11-16,7.922292339421325e-05
2021-12-01,7.251975667775876e-05
2021-12-16,7.671463273090895e-05
2022-01-01,6.996721089943202e-05
2022-01-16,7.279488614966151e-05
2022-02-01,8.125867807415527e-05
2022-02-16,8.208787797050835e-05
2022-03-01,8.348101645797978e-05
2022-03-16,8.473002378019179e-05
2022-04-01,9.567658448337072e-05
2022-04-16,9.777718831100323e-05
2022-05-01,8.936539463746445e-05
2022-05-16,8.76656793432861e-05
2022-06-01,0.0001012690633296837
2022-06-16,9.837032341749464e-05
2022-07-01,8.147349400295345e-05
2022-07-16,8.031377627130085e-05
2022-08-01,7.461455543972355e-05
2022-08-16,7.328736270253685e-05
2022-09-01,7.760877604290293e-05
2022-09-16,7.232190484431452e-05
2022-10-01,7.130002971155608e-05
2022-10-16,8.4418551306533e-05
2022-11-01,9.420349093608384e-05
2022-11-16,9.522851362948412e-05
2022-12-01,9.106360874697064e-05
2022-12-16,9.361287833443262e-05
2023-01-01,9.993262481315262e-05
2023-01-16,8.498700316163341e-05
2023-02-01,8.641287399061473e-05
2023-02-16,8.276688981133895e-05
2023-03-01,8.540557525833787e-05
2023-03-16,8.533898675145813e-05
2023-04-01,9.194910397683392e-05
2023-04-16,0.00010203848590540816
2023-05-01,0.00010146211044797496
2023-05-16,0.00010485131146928368
2023-06-01,9.921177990839008e-05
2023-06-16,9.298102592945892e-05
2023-07-01,8.276181003682789e-05
2023-07-16,8.0719243851148e-05
2023-08-01,8.534404017204622e-05
2023-08-16,8.462314854457484e-05
2023-09-01,8.219061664631644e-05
2023-09-16,7.709561285732399e-05
2023-10-01,8.625263827182762e-05
2023-10-16,8.394746060418946e-05
2023-11-01,8.864144604244067e-05
2023-11-16,8.996090749315994e-05
2023-12-01,7.714935643318234e-05
2023-12-16,8.469429732846962e-05
