date,mean_concentration
2019-01-01,6.213295933199077e-05
2019-01-16,5.920347696794163e-05
2019-02-01,5.582409700267421e-05
2019-02-16,6.309328340436057e-05
2019-03-01,6.482211645643001e-05
2019-03-16,6.990270094856096e-05
2019-04-01,7.396025948138816e-05
2019-04-16,6.863608601573388e-05
2019-05-01,6.495687254911081e-05
2019-05-16,7.878836126309567e-05
2019-06-01,7.234260862091582e-05
2019-06-16,6.1030760145959216e-05
2019-07-01,4.766369889999108e-05
2019-07-16,4.977096008703632e-05
2019-08-01,4.842913062004833e-05
2019-08-16,4.837449890656118e-05
2019-09-01,4.420716431628661e-05
2019-09-16,4.9346813505394e-05
2019-10-01,5.27422493834175e-05
2019-10-16,4.371054509323544e-05
2019-11-01,4.774763341191098e-05
2019-11-16,4.708340026557287e-05
2019-12-01,4.937120064236937e-05
2019-12-16,4.55594796505316e-05
2020-01-01,4.974840583319952e-05
2020-01-16,5.518561831961129e-05
2020-02-01,5.046691914796809e-05
2020-02-16,6.079965425180469e-05
2020-03-01,5.141888021003964e-05
2020-03-16,6.036019536807977e-05
2020-04-01,5.873274707550548e-05
2020-04-16,5.944400934769816e-05
2020-05-01,6.52195989741073e-05
2020-05-16,6.166816755733642e-05
2020-06-01,5.062289139265644e-05
2020-06-16,5.697778693561612e-05
2020-07-01,4.839555488799605e-05
2020-07-16,5.4386039068998014e-05
2020-08-01,4.955121418613907e-05
2020-08-16,4.8038097182486725e-05
2020-09-01,5.16313766824411e-05
2020-09-16,4.728702885738434e-05
2020-10-01,4.987881385880549e-05
2020-10-16,5.305166818410541e-05
2020-11-01,5.96944366680449e-05
2020-11-16,5.658228238082856e-05
2020-12-01,5.915426223863694e-05
2020-12-16,5.846731128873492e-05
2021-01-01,5.835312112392395e-05
2021-01-16,6.510280135986546e-05
2021-02-01,6.226470332676557e-05
2021-02-16,6.213263398180444e-05
2021-03-01,6.960211516723666e-05
2021-03-16,6.590224641442963e-05
2021-04-01,6.66074698421137e-05
2021-04-16,7.051959415285305e-05
2021-05-01,6.766704047085413e-05
2021-05-16,5.646274052704739e-05
2021-06-01,5.977152138253848e-05
2021-06-16,5.59068490547643e-05
2021-07-01,6.638329534959807e-05
2021-07-16,5.360573748080774e-05
2021-08-01,5.361464300025399e-05
2021-08-16,5.4272464516868335e-05
2021-09-01,4.837209760552132e-05
2021-09-16,5.003910872771618e-05
2021-10-01,5.672262158933879e-05
2021-10-16,6.122271139743471e-05
2021-11-01,5.76679886525282e-05
2021-11-16,5.4337803069834026e-05
2021-12-01,5.641459088003624e-05
2021-12-16,5.9953287593433165e-05
2022-01-01,5.553619251469224e-05
2022-01-16,6.01529829027074e-05
2022-02-01,6.012308542856402e-05
2022-02-16,6.381532282871835e-05
2022-03-01,6.352086023301655e-05
2022-03-16,6.571654681352433e-05
2022-04-01,6.456373229628551e-05
2022-04-16,6.2535054607475e-05
2022-05-01,6.788939656711416e-05
2022-05-16,5.579075598303428e-05
2022-06-01,5.9400622378264215e-05
2022-06-16,5.593260589631691e-05
2022-07-01,4.824198093169986e-05
2022-07-16,5.669592412232123e-05
2022-08-01,6.0641129169512594e-05
2022-08-16,5.4940111380473325e-05
2022-09-01,5.2703529842236085e-05
2022-09-16,5.325378652702991e-05
2022-10-01,5.355082893548275e-05
2022-10-16,6.349523893663091e-05
2022-11-01,5.7732721812099385e-05
2022-11-16,6.799383021780672e-05
2022-12-01,5.870828079201027e-05
2022-12-16,6.806164460722964e-05
2023-01-01,6.54144540792372e-05
2023-01-16,6.604165628199366e-05
2023-02-01,7.086062708273601e-05
2023-02-16,7.434447433170666e-05
2023-03-01,6.608088010133668e-05
2023-03-16,6.905275568742639e-05
2023-04-01,7.518242625741951e-05
2023-04-16,7.345995657039804e-05
2023-05-01,6.896632299587255e-05
2023-05-16,7.156573420426131e-05
2023-06-01,7.149251793119992e-05
2023-06-16,6.488638161890742e-05
2023-07-01,6.14498202605053e-05
2023-07-16,5.478415635299109e-05
2023-08-01,5.325500950890169e-05
2023-08-16,5.7606380035733816e-05
2023-09-01,5.49125456320366e-05
2023-09-16,5.200535080539413e-05
2023-10-01,5.379643980345788e-05
2023-10-16,6.9079767240303e-05
2023-11-01,5.893845938205055e-05
2023-11-16,5.708834859295217e-05
2023-12-01,5.612536621470459e-05
2023-12-16,5.342119313872483e-05
